state_abbr,year,meanStateApprop_byYear,meanTuition_byYear,meanRepayRate_byYear,repay_rate_category,meanRepayRate_byYearStateAndIncome,meanStateApprop_byState,meanTuition_byState,meanStateApprop_byYearAndState,meanTuition_byYearAndState
AK,2007,87809339.5775862,4407.140575079872,0.5805351814688301,repay_rate_highincome,0.7672926666666666,107309020.83333333,4848,100166365.33333333,4080
AK,2007,87809339.5775862,4407.140575079872,0.5805351814688301,repay_rate_hilodiff,0.15718133333333334,107309020.83333333,4848,100166365.33333333,4080
AK,2007,87809339.5775862,4407.140575079872,0.5805351814688301,repay_rate_lowincome,0.6101113333333333,107309020.83333333,4848,100166365.33333333,4080
AK,2007,87809339.5775862,4407.140575079872,0.5805351814688301,repay_rate_midincome,0.7089936666666666,107309020.83333333,4848,100166365.33333333,4080
AK,2008,83696878.17900172,4647.194888178914,0.5481490175213676,repay_rate_hilodiff,0.16507966666666668,107309020.83333333,4848,96675072,4275
AK,2008,83696878.17900172,4647.194888178914,0.5481490175213676,repay_rate_lowincome,0.5563853333333333,107309020.83333333,4848,96675072,4275
AK,2008,83696878.17900172,4647.194888178914,0.5481490175213676,repay_rate_midincome,0.6640283333333333,107309020.83333333,4848,96675072,4275
AK,2008,83696878.17900172,4647.194888178914,0.5481490175213676,repay_rate_highincome,0.721465,107309020.83333333,4848,96675072,4275
AK,2009,77839416.36060101,5002.924031007752,0.5205521902040816,repay_rate_highincome,0.7146183333333334,107309020.83333333,4848,101075559.33333333,4500
AK,2009,77839416.36060101,5002.924031007752,0.5205521902040816,repay_rate_hilodiff,0.221264,107309020.83333333,4848,101075559.33333333,4500
AK,2009,77839416.36060101,5002.924031007752,0.5205521902040816,repay_rate_midincome,0.6135793333333334,107309020.83333333,4848,101075559.33333333,4500
AK,2009,77839416.36060101,5002.924031007752,0.5205521902040816,repay_rate_lowincome,0.49335433333333334,107309020.83333333,4848,101075559.33333333,4500
AK,2010,77719794.94224423,5275.549770290965,0.49959436894360604,repay_rate_highincome,0.70764,107309020.83333333,4848,104520452,4755
AK,2010,77719794.94224423,5275.549770290965,0.49959436894360604,repay_rate_hilodiff,0.2551793333333333,107309020.83333333,4848,104520452,4755
AK,2010,77719794.94224423,5275.549770290965,0.49959436894360604,repay_rate_lowincome,0.4524606666666667,107309020.83333333,4848,104520452,4755
AK,2010,77719794.94224423,5275.549770290965,0.49959436894360604,repay_rate_midincome,0.5759966666666667,107309020.83333333,4848,104520452,4755
AK,2011,72368615.25370675,5851.360856269113,0.4829237395915161,repay_rate_lowincome,0.3962093333333333,107309020.83333333,4848,107761360,5115
AK,2011,72368615.25370675,5851.360856269113,0.4829237395915161,repay_rate_midincome,0.5402006666666667,107309020.83333333,4848,107761360,5115
AK,2011,72368615.25370675,5851.360856269113,0.4829237395915161,repay_rate_highincome,0.6760056666666667,107309020.83333333,4848,107761360,5115
AK,2011,72368615.25370675,5851.360856269113,0.4829237395915161,repay_rate_hilodiff,0.2797963333333333,107309020.83333333,4848,107761360,5115
